Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.0376909729799946,0.000373403670660966,0.0224701399148229,0,0,0,0.949847159899601,0.00045795508289173,5.34822584218325E-07,-4.25905205813283E-06,0.000472087701599855,1.69411793737785E-06,0.00049776630591051,0,0,0,0,0,0,package://原版整合_step_1.SLDASM/meshes/base_link.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://原版整合_step_1.SLDASM/meshes/base_link.STL,,灵足时代 RS01-2;腰部关节旋转固定板-1;陀螺仪固定件-1;尾巴底板-1;尾巴左右电机安装座2-1;绞线盘盖板-1;绞线盘-1;机身绕线1-1;05电机座-1;EL05-2;机身绕线2-1;四线尾巴主体底座2-1;髋关节支撑板V1.2-1;泉智博 PA43-10-25-YB_Deep-4;泉智博 PA43-10-25-YB_Deep-1;髋关节电机板-1;EL05-1;05电机轴承侧板-1;滑轮架2-1,base坐标,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
imu_link,-6.93889390390723E-18,0,0,0,0,0,2.51327412287186E-05,3.35103216382916E-11,1.5694542800438E-43,1.20912661957474E-27,3.35103216382916E-11,-4.41762106923767E-28,5.02654824574372E-11,0,0,0,0,0,0,package://原版整合_step_1.SLDASM/meshes/imu_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://原版整合_step_1.SLDASM/meshes/imu_link.STL,,复件 零件66^原版整合_step_1-1,imu坐标,,imu_joint,fixed,0.034059,-0.00020534,-0.015067,-0.001365,0,0,base_link,0,0,0,,,,,,,,,,,,
tail1_link,-0.00762274422412546,4.59468082539272E-08,8.03588656728138E-09,0,0,0,0.0141851775235556,8.34744427360573E-07,4.83516448208726E-12,-8.10571938743082E-12,6.99096415891827E-07,-8.1465996643223E-12,6.99051973482161E-07,0,0,0,0,0,0,package://原版整合_step_1.SLDASM/meshes/tail1_link.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://原版整合_step_1.SLDASM/meshes/tail1_link.STL,,四线尾巴主体1-1,tail_1_坐标,tail_1_轴,tail1_joint,revolute,-0.16794,-8.4332E-05,0.033174,-0.00029343,-0.13963,0.00083919,base_link,-1,0,0,3,3,3,3,,,,,,,,
tail2_link,-0.00650946186307066,-1.52170692019338E-09,2.7910038724599E-09,0,0,0,0.0127952179052056,7.00743774263552E-07,-2.50808859184526E-13,-4.83067761601916E-13,5.92152060742917E-07,-1.10662095911008E-11,5.92123674862296E-07,0,0,0,0,0,0,package://原版整合_step_1.SLDASM/meshes/tail2_link.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://原版整合_step_1.SLDASM/meshes/tail2_link.STL,,四线尾巴主体2-1,tail_2_坐标,tail_2_轴,tail2_joint,revolute,-0.018124,0,0,0,0,0,tail1_link,1,0,0,3,3,3,3,,,,,,,,
tail3_link,-0.00631416853552891,-4.82119415570748E-08,-7.91465742944197E-08,0,0,0,0.0116835708764158,6.0668791411361E-07,-3.0889534578389E-12,-4.86924442197162E-12,5.11928508664374E-07,2.46362720395388E-13,5.1192990570307E-07,0,0,0,0,0,0,package://原版整合_step_1.SLDASM/meshes/tail3_link.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://原版整合_step_1.SLDASM/meshes/tail3_link.STL,,四线尾巴主体3-1,tail_3_坐标,tail_3_轴,tail3_joint,revolute,-0.0167,0,0,0,0,0,tail2_link,1,0,0,3,3,3,3,,,,,,,,
tail4_link,-0.0061185438841842,-1.48748220199502E-08,9.01788682616811E-09,0,0,0,0.0106347694237068,5.23074870443639E-07,-8.11977613395735E-13,3.04824638664323E-13,4.40635446836679E-07,5.81788845198795E-12,4.40551070538819E-07,0,0,0,0,0,0,package://原版整合_step_1.SLDASM/meshes/tail4_link.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://原版整合_step_1.SLDASM/meshes/tail4_link.STL,,四线尾巴主体4-1,tail_4_坐标,tail_4_轴,tail4_joint,revolute,-0.016,0,0,0,0,0,tail3_link,1,0,0,3,3,3,3,,,,,,,,
tail5_link,-0.00590663030331451,-2.33051585113442E-08,-1.20618755539148E-08,0,0,0,0.00985155554987781,4.66785983258564E-07,-1.04372443702653E-12,1.07564984089307E-13,3.89047578750144E-07,-5.17550076333586E-12,3.89031984365247E-07,0,0,0,0,0,0,package://原版整合_step_1.SLDASM/meshes/tail5_link.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://原版整合_step_1.SLDASM/meshes/tail5_link.STL,,四线尾巴主体5-1,tail_5_坐标,tail_5_轴,tail5_joint,revolute,-0.0157,0,0,0,0,0,tail4_link,1,0,0,3,3,3,3,,,,,,,,
tail6_link,-0.0056903437316127,5.41744728244087E-09,1.2834479590218E-09,0,0,0,0.00923075165523409,4.22373239284678E-07,3.15975255616925E-13,9.81905658686649E-13,3.47612621110504E-07,-5.09145044445086E-12,3.47597874849156E-07,0,0,0,0,0,0,package://原版整合_step_1.SLDASM/meshes/tail6_link.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://原版整合_step_1.SLDASM/meshes/tail6_link.STL,,四线尾巴主体6-1,tail_6_坐标,tail_6_轴,tail6_joint,revolute,-0.0152,0,0,0,0,0,tail5_link,1,0,0,3,3,3,3,,,,,,,,
tail7_link,-0.00549512158168441,4.41705623466238E-10,5.92188553749651E-09,0,0,0,0.0083927589340141,3.62504640761287E-07,5.27937408432459E-15,3.45073339124299E-13,2.97470779283463E-07,-4.1907348517631E-12,2.97471433861245E-07,0,0,0,0,0,0,package://原版整合_step_1.SLDASM/meshes/tail7_link.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://原版整合_step_1.SLDASM/meshes/tail7_link.STL,,四线尾巴主体7-1,tail_7_坐标,tail_7_轴,tail7_joint,revolute,-0.0147,0,0,0,0,0,tail6_link,1,0,0,3,3,3,3,,,,,,,,
tail8_link,-0.00563909552581265,4.20880061358098E-08,-1.77922774846628E-08,0,0,0,0.00801677850255402,3.31236320661279E-07,1.88525085945086E-12,-6.1350591694735E-13,2.7967143331277E-07,-5.43556752743582E-12,2.79664129565631E-07,0,0,0,0,0,0,package://原版整合_step_1.SLDASM/meshes/tail8_link.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://原版整合_step_1.SLDASM/meshes/tail8_link.STL,,四线尾巴主体8-1,tail_8_坐标,tail_8_轴,tail8_joint,revolute,-0.0144,0,0,0,0,0,tail7_link,1,0,0,3,3,3,3,,,,,,,,
tail9_link,-0.00551185736109,-8.70025468335811E-10,-1.1744280548065E-08,0,0,0,0.00782767270242887,3.07000053171084E-07,-3.31166362575087E-15,-5.04747137565905E-13,2.66907201950988E-07,-2.47028550370464E-12,2.66903344499661E-07,0,0,0,0,0,0,package://原版整合_step_1.SLDASM/meshes/tail9_link.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://原版整合_step_1.SLDASM/meshes/tail9_link.STL,,四线尾巴主体9-1,tail_9_坐标,tail_9_轴,tail9_joint,revolute,-0.0147,0,0,0,0,0,tail8_link,1,0,0,3,3,3,3,,,,,,,,
